feedback_id,report_id,event_id,timestamp,user_decision,model_helpfulness,comment,submitted_by_id,submitted_by_role,batch,period
FBK-2027S1-0001,RPT-2027S1-0029,,2027-02-02T10:14:00Z,accepted_with_changes,4,La reponse melange deux equipements de la meme famille lorsque le nom d usage est ambigu.,USR-018,superviseur,b1,2027-S1
FBK-2027S1-0002,RPT-2027S1-0017,,2027-02-02T11:43:00Z,rejected,3,"L historique affiche seulement les trois dernieres interventions, insuffisant pour juger une recidive.",USR-016,technicien,b1,2027-S1
FBK-2027S1-0003,RPT-2027S1-0053,,2027-02-02T21:46:00Z,accepted,3,"L outil equipement renvoie la criticite sans le site, ce qui oblige a rouvrir la fiche a chaque fois.",USR-013,technicien,b1,2027-S1
FBK-2027S1-0004,RPT-2027S1-0023,,2027-02-03T05:49:00Z,accepted,2,La reponse melange deux equipements de la meme famille lorsque le nom d usage est ambigu.,USR-011,technicien,b1,2027-S1
FBK-2027S1-0005,RPT-2027S1-0040,,2027-02-03T16:52:00Z,rejected,3,Le diagnostic propose une inspection sans rappeler la consignation prealable.,USR-017,technicien,b1,2027-S1
FBK-2027S1-0006,RPT-2027S1-0025,,2027-02-04T03:55:00Z,accepted_with_changes,3,La citation renvoie au bon document mais l extrait ne couvre pas l etape citee.,USR-005,technicien,b1,2027-S1
FBK-2027S1-0007,RPT-2027S1-0015,,2027-02-04T13:12:00Z,accepted_with_changes,4,La reponse melange deux equipements de la meme famille lorsque le nom d usage est ambigu.,USR-004,technicien,b1,2027-S1
FBK-2027S1-0008,RPT-2027S1-0056,,2027-02-04T16:29:00Z,accepted_with_changes,4,"Pour un groupe froid, la reponse ne mentionne pas le controle de la conduite retour prevu par la procedure.",USR-010,technicien,b1,2027-S1
FBK-2027S1-0009,RPT-2027S1-0043,,2027-02-05T00:46:00Z,accepted_with_changes,3,Le diagnostic propose une inspection sans rappeler la consignation prealable.,USR-005,technicien,b1,2027-S1
FBK-2027S1-0010,RPT-2027S1-0035,,2027-02-05T03:15:00Z,accepted,3,"L outil equipement renvoie la criticite sans le site, ce qui oblige a rouvrir la fiche a chaque fois.",USR-014,technicien,b1,2027-S1
FBK-2027S1-0011,RPT-2027S1-0016,,2027-02-05T05:44:00Z,rejected,4,La reponse cite la revision 1 de la consignation alors que la revision 2 est applicable depuis fevrier.,USR-012,superviseur,b1,2027-S1
