maintenance_id,event_id,equipment_id,opened_at,closed_at,intervention_type,outcome,downtime_minutes,labor_hours,parts_cost_eur,parts_replaced_count,work_order_note,period,source_system
MNT-2026S1-0001,EVT-2026S1-0001,EQ-M2X-001,2026-05-03T11:30:00Z,2026-05-03T12:23:00Z,preventive,resolved,53,0.87,56.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0002,EVT-2026S1-B002,EQ-M2X-002,2026-05-03T16:30:00Z,2026-05-03T17:46:00Z,corrective,monitoring,76,1.24,88.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0002,EVT-2026S1-B002,EQ-M2X-003,2026-05-03T21:30:00Z,2026-05-03T23:09:00Z,inspection,parts_ordered,99,1.61,120.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0004,EVT-UNKNOWN-999,EQ-UNKNOWN-999,2026-05-04T02:30:00Z,2026-05-04T04:32:00Z,calibration,follow_up_required,122,1.98,152.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0005,EVT-2026S1-B005,EQ-M2X-024,2026-05-04T07:30:00Z,2026-05-04T09:55:00Z,preventive,resolved,145,2.35,183.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0006,EVT-2026S1-B006,EQ-M2X-006,2026-05-04T12:30:00Z,2026-05-04T15:18:00Z,corrective,monitoring,-45,2.72,215.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0007,EVT-2026S1-B007,EQ-M2X-007,2026-05-04T17:30:00Z,2026-05-01T00:00:00Z,inspection,parts_ordered,191,3.09,247.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0008,EVT-2026S1-B008,EQ-M2X-008,2026-05-04T22:30:00Z,2026-05-05T02:04:00Z,calibration,follow_up_required,214,3.46,279.0,3,Compte rendu transmis à ines.dupont@example.test.,2026-S1,gmao-v2
MNT-2026S1-B0009,EVT-2026S1-B009,EQ-M2X-009,2026-05-05T03:30:00Z,2026-05-05T07:27:00Z,preventive,resolved,237,3.83,310.75,4,Rappeler Malik au 06 98 76 54 32.,2026-S1,gmao-v2
MNT-2026S1-B0010,EVT-2026S1-B010,EQ-M2X-010,2026-05-05T08:30:00Z,2026-05-05T12:50:00Z,corrective,monitoring,260,4.2,342.5,0,,2026-S1,gmao-v2
MNT-2026S1-B0011,EVT-2026S1-B011,EQ-M2X-011,2026-05-05T13:30:00Z,2026-05-05T18:13:00Z,inspection,parts_ordered,283,4.57,374.25,1,,2026-S1,gmao-v2
MNT-2026S1-B0012,EVT-2026S1-B012,EQ-M2X-012,2026-05-05T18:30:00Z,2026-05-05T23:36:00Z,calibration,follow_up_required,306,4.94,406.0,2,,2026-S1,gmao-v2
MNT-2026S1-B0013,EVT-2026S1-B013,EQ-M2X-013,2026-05-05T23:30:00Z,2026-05-06T04:59:00Z,preventive,resolved,329,5.31,437.75,3,,2026-S1,gmao-v2
MNT-2026S1-B0014,EVT-2026S1-B014,EQ-M2X-014,2026-05-06T04:30:00Z,2026-05-06T10:22:00Z,corrective,monitoring,352,5.68,469.5,4,,2026-S1,gmao-v2
MNT-2026S1-B0015,EVT-2026S1-B015,EQ-M2X-015,2026-05-06T09:30:00Z,2026-05-06T15:45:00Z,inspection,parts_ordered,375,6.05,501.25,0,,2026-S1,gmao-v2
